attraction_id,name,city,country,category,entry_fee,duration_hours,rating,description,opening_hours
19,Paris Architecture Center,Paris,France,Architecture,13,1.5,4.2,A magnificent architecture attraction showcasing the rich heritage of Paris.,10:00 AM - 7:00 PM
20,Paris Market Center,Paris,France,Market,3,1.0,4.4,Discover the fascinating market treasures of Paris in this world-class venue.,10:00 AM - 7:00 PM
21,Old Paris,Paris,France,Historical,10,3.5,5.0,Experience the authentic culture and history of Paris at this renowned historical site.,10:00 AM - 8:00 PM
22,Paris Art Museum,Paris,France,Museum,23,3.5,4.9,A magnificent museum attraction showcasing the rich heritage of Paris.,10:00 AM - 8:00 PM
23,Paris Shrine,Paris,France,Religious,7,1.0,4.3,A must-visit religious landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
24,Iconic Paris,Paris,France,Landmark,5,5.0,3.6,Experience the authentic culture and history of Paris at this renowned landmark site.,9:30 AM - 6:30 PM
25,Paris Mall,Paris,France,Shopping,0,5.0,4.5,A must-visit shopping landmark offering breathtaking views and cultural insights.,10:00 AM - 8:00 PM
26,Paris Cultural Center,Paris,France,Cultural,19,3.0,4.1,One of Paris's most visited cultural destinations with stunning architecture.,9:00 AM - 6:00 PM
27,Paris Entertainment Center,Paris,France,Entertainment,20,5.0,4.3,Discover the fascinating entertainment treasures of Paris in this world-class venue.,9:00 AM - 6:00 PM
28,Paris Nature Center,Paris,France,Nature,12,5.0,4.5,A must-visit nature landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
29,Paris Architecture Center,Paris,France,Architecture,14,3.5,4.0,A must-visit architecture landmark offering breathtaking views and cultural insights.,10:00 AM - 7:00 PM
30,Paris Market Center,Paris,France,Market,4,3.0,4.9,Experience the authentic culture and history of Paris at this renowned market site.,24 hours
31,Ancient London,London,UK,Historical,21,1.0,3.8,A magnificent historical attraction showcasing the rich heritage of London.,8:00 AM - 5:00 PM
32,London Cultural Center,London,UK,Museum,25,1.5,4.3,One of London's most visited museum destinations with stunning architecture.,10:00 AM - 8:00 PM
33,London Shrine,London,UK,Religious,4,3.0,4.0,A must-visit religious landmark offering breathtaking views and cultural insights.,10:00 AM - 8:00 PM
34,London Monument,London,UK,Landmark,13,3.0,4.4,Experience the authentic culture and history of London at this renowned landmark site.,10:00 AM - 8:00 PM
35,Traditional London Market,London,UK,Shopping,0,3.5,4.0,Experience the authentic culture and history of London at this renowned shopping site.,9:30 AM - 6:30 PM
36,London Cultural Center,London,UK,Cultural,13,1.5,4.6,Discover the fascinating cultural treasures of London in this world-class venue.,9:30 AM - 6:30 PM
37,London Entertainment Center,London,UK,Entertainment,50,1.0,4.7,A magnificent entertainment attraction showcasing the rich heritage of London.,9:00 AM - 6:00 PM
38,London Nature Center,London,UK,Nature,15,3.0,4.4,One of London's most visited nature destinations with stunning architecture.,9:00 AM - 6:00 PM
39,London Architecture Center,London,UK,Architecture,15,8.0,3.7,Experience the authentic culture and history of London at this renowned architecture site.,9:30 AM - 6:30 PM
40,London Market Center,London,UK,Market,4,1.5,4.5,A magnificent market attraction showcasing the rich heritage of London.,9:30 AM - 6:30 PM
41,London Fortress,London,UK,Historical,16,1.0,4.0,Discover the fascinating historical treasures of London in this world-class venue.,9:00 AM - 6:00 PM
42,London Gallery,London,UK,Museum,21,1.5,4.8,Discover the fascinating museum treasures of London in this world-class venue.,10:00 AM - 8:00 PM
43,London Monastery,London,UK,Religious,10,3.5,4.3,A must-visit religious landmark offering breathtaking views and cultural insights.,10:00 AM - 8:00 PM
44,London Plaza,London,UK,Landmark,16,1.0,4.2,Experience the authentic culture and history of London at this renowned landmark site.,9:00 AM - 6:00 PM
45,London Fashion Street,London,UK,Shopping,0,8.0,3.7,One of London's most visited shopping destinations with stunning architecture.,9:00 AM - 6:00 PM
46,London Cultural Center,London,UK,Cultural,25,2.0,3.6,A magnificent cultural attraction showcasing the rich heritage of London.,10:00 AM - 8:00 PM
47,London Entertainment Center,London,UK,Entertainment,37,1.5,4.9,A magnificent entertainment attraction showcasing the rich heritage of London.,8:00 AM - 5:00 PM
48,London Nature Center,London,UK,Nature,14,8.0,3.6,Discover the fascinating nature treasures of London in this world-class venue.,8:00 AM - 5:00 PM
49,London Architecture Center,London,UK,Architecture,18,2.5,4.0,A magnificent architecture attraction showcasing the rich heritage of London.,9:30 AM - 6:30 PM
50,London Market Center,London,UK,Market,5,1.5,3.7,Experience the authentic culture and history of London at this renowned market site.,24 hours
51,Royal London Complex,London,UK,Historical,11,1.0,3.7,A magnificent historical attraction showcasing the rich heritage of London.,9:00 AM - 6:00 PM
52,London Cultural Center,London,UK,Museum,29,6.0,4.6,A magnificent museum attraction showcasing the rich heritage of London.,9:00 AM - 6:00 PM
53,London Monastery,London,UK,Religious,0,2.0,4.1,Discover the fascinating religious treasures of London in this world-class venue.,10:00 AM - 7:00 PM
54,London Plaza,London,UK,Landmark,20,6.0,4.1,A must-visit landmark landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
55,London Mall,London,UK,Shopping,0,3.5,3.6,One of London's most visited shopping destinations with stunning architecture.,9:30 AM - 6:30 PM
56,London Cultural Center,London,UK,Cultural,13,5.0,3.5,Discover the fascinating cultural treasures of London in this world-class venue.,9:00 AM - 6:00 PM
57,London Entertainment Center,London,UK,Entertainment,20,2.0,4.1,Discover the fascinating entertainment treasures of London in this world-class venue.,8:00 AM - 5:00 PM
58,London Nature Center,London,UK,Nature,7,1.0,3.7,Experience the authentic culture and history of London at this renowned nature site.,10:00 AM - 8:00 PM
59,London Architecture Center,London,UK,Architecture,10,5.0,4.5,Experience the authentic culture and history of London at this renowned architecture site.,9:00 AM - 6:00 PM
60,London Market Center,London,UK,Market,1,4.0,3.8,One of London's most visited market destinations with stunning architecture.,8:00 AM - 5:00 PM
61,Tokyo Palace,Tokyo,Japan,Historical,23,3.5,4.8,Experience the authentic culture and history of Tokyo at this renowned historical site.,8:00 AM - 5:00 PM
62,National Tokyo Museum,Tokyo,Japan,Museum,30,2.5,4.7,A must-visit museum landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
63,Tokyo Temple,Tokyo,Japan,Religious,8,1.0,4.0,One of Tokyo's most visited religious destinations with stunning architecture.,9:30 AM - 6:30 PM
64,Tokyo Tower,Tokyo,Japan,Landmark,19,6.0,3.8,A must-visit landmark landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
65,Tokyo Shopping District,Tokyo,Japan,Shopping,0,3.5,4.3,One of Tokyo's most visited shopping destinations with stunning architecture.,8:00 AM - 5:00 PM
66,Tokyo Cultural Center,Tokyo,Japan,Cultural,17,2.0,3.5,Discover the fascinating cultural treasures of Tokyo in this world-class venue.,9:30 AM - 6:30 PM
67,Tokyo Entertainment Center,Tokyo,Japan,Entertainment,26,8.0,3.6,A magnificent entertainment attraction showcasing the rich heritage of Tokyo.,9:00 AM - 6:00 PM
68,Tokyo Nature Center,Tokyo,Japan,Nature,10,1.5,3.7,One of Tokyo's most visited nature destinations with stunning architecture.,9:00 AM - 6:00 PM
69,Tokyo Architecture Center,Tokyo,Japan,Architecture,17,3.5,3.8,Discover the fascinating architecture treasures of Tokyo in this world-class venue.,8:00 AM - 5:00 PM
70,Tokyo Market Center,Tokyo,Japan,Market,0,5.0,4.2,Discover the fascinating market treasures of Tokyo in this world-class venue.,9:00 AM - 6:00 PM
71,Royal Tokyo Complex,Tokyo,Japan,Historical,23,1.5,4.0,One of Tokyo's most visited historical destinations with stunning architecture.,8:00 AM - 5:00 PM
72,Tokyo History Museum,Tokyo,Japan,Museum,22,2.0,4.0,One of Tokyo's most visited museum destinations with stunning architecture.,10:00 AM - 8:00 PM
73,Tokyo Temple,Tokyo,Japan,Religious,3,4.0,4.7,A magnificent religious attraction showcasing the rich heritage of Tokyo.,9:00 AM - 6:00 PM
74,Iconic Tokyo,Tokyo,Japan,Landmark,8,2.5,4.9,A must-visit landmark landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
75,Tokyo Bazaar,Tokyo,Japan,Shopping,0,1.0,3.5,A must-visit shopping landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
76,Tokyo Cultural Center,Tokyo,Japan,Cultural,15,2.5,4.9,A magnificent cultural attraction showcasing the rich heritage of Tokyo.,8:00 AM - 5:00 PM
77,Tokyo Entertainment Center,Tokyo,Japan,Entertainment,34,1.0,4.0,Experience the authentic culture and history of Tokyo at this renowned entertainment site.,10:00 AM - 8:00 PM
78,Tokyo Nature Center,Tokyo,Japan,Nature,6,2.0,3.8,A must-visit nature landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
79,Tokyo Architecture Center,Tokyo,Japan,Architecture,17,3.5,4.9,One of Tokyo's most visited architecture destinations with stunning architecture.,10:00 AM - 8:00 PM
80,Tokyo Market Center,Tokyo,Japan,Market,5,3.5,4.9,Discover the fascinating market treasures of Tokyo in this world-class venue.,8:00 AM - 5:00 PM
81,Historic Tokyo,Tokyo,Japan,Historical,23,3.0,4.3,A must-visit historical landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
82,Tokyo Art Museum,Tokyo,Japan,Museum,28,5.0,4.0,Discover the fascinating museum treasures of Tokyo in this world-class venue.,9:30 AM - 6:30 PM
83,Tokyo Basilica,Tokyo,Japan,Religious,4,8.0,3.7,A magnificent religious attraction showcasing the rich heritage of Tokyo.,9:00 AM - 6:00 PM
84,Tokyo Monument,Tokyo,Japan,Landmark,8,3.5,4.2,One of Tokyo's most visited landmark destinations with stunning architecture.,9:30 AM - 6:30 PM
85,Tokyo Market,Tokyo,Japan,Shopping,0,5.0,4.5,Experience the authentic culture and history of Tokyo at this renowned shopping site.,8:00 AM - 5:00 PM
86,Tokyo Cultural Center,Tokyo,Japan,Cultural,21,4.0,3.8,One of Tokyo's most visited cultural destinations with stunning architecture.,9:30 AM - 6:30 PM
87,Tokyo Entertainment Center,Tokyo,Japan,Entertainment,24,3.0,4.8,Discover the fascinating entertainment treasures of Tokyo in this world-class venue.,8:00 AM - 5:00 PM
88,Tokyo Nature Center,Tokyo,Japan,Nature,12,6.0,4.0,A magnificent nature attraction showcasing the rich heritage of Tokyo.,9:00 AM - 6:00 PM
89,Tokyo Architecture Center,Tokyo,Japan,Architecture,18,1.5,3.7,A must-visit architecture landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
90,Tokyo Market Center,Tokyo,Japan,Market,1,3.0,4.3,Experience the authentic culture and history of Tokyo at this renowned market site.,24 hours
91,New York Fortress,New York,USA,Historical,19,1.0,4.9,A magnificent historical attraction showcasing the rich heritage of New York.,9:00 AM - 6:00 PM
92,New York Art Museum,New York,USA,Museum,20,3.5,4.6,Experience the authentic culture and history of New York at this renowned museum site.,9:30 AM - 6:30 PM
93,New York Shrine,New York,USA,Religious,6,1.0,4.9,A magnificent religious attraction showcasing the rich heritage of New York.,9:00 AM - 6:00 PM
94,Iconic New York,New York,USA,Landmark,5,4.0,4.5,One of New York's most visited landmark destinations with stunning architecture.,9:00 AM - 6:00 PM
95,New York Souk,New York,USA,Shopping,0,1.0,4.3,Experience the authentic culture and history of New York at this renowned shopping site.,8:00 AM - 5:00 PM
96,New York Cultural Center,New York,USA,Cultural,12,2.5,4.1,Experience the authentic culture and history of New York at this renowned cultural site.,9:00 AM - 6:00 PM
97,New York Entertainment Center,New York,USA,Entertainment,40,3.0,4.7,One of New York's most visited entertainment destinations with stunning architecture.,8:00 AM - 5:00 PM
98,New York Nature Center,New York,USA,Nature,7,3.5,4.1,A magnificent nature attraction showcasing the rich heritage of New York.,9:00 AM - 6:00 PM
99,New York Architecture Center,New York,USA,Architecture,13,8.0,3.8,One of New York's most visited architecture destinations with stunning architecture.,10:00 AM - 7:00 PM
100,New York Market Center,New York,USA,Market,4,3.0,4.1,One of New York's most visited market destinations with stunning architecture.,8:00 AM - 5:00 PM
101,New York Palace,New York,USA,Historical,23,2.0,3.7,Discover the fascinating historical treasures of New York in this world-class venue.,9:00 AM - 6:00 PM
102,New York Cultural Center,New York,USA,Museum,17,2.5,3.9,A magnificent museum attraction showcasing the rich heritage of New York.,10:00 AM - 8:00 PM
103,New York Monastery,New York,USA,Religious,5,1.5,4.4,One of New York's most visited religious destinations with stunning architecture.,10:00 AM - 7:00 PM
104,Famous New York Spot,New York,USA,Landmark,11,3.5,4.1,One of New York's most visited landmark destinations with stunning architecture.,10:00 AM - 7:00 PM
105,Traditional New York Market,New York,USA,Shopping,0,5.0,4.5,One of New York's most visited shopping destinations with stunning architecture.,8:00 AM - 5:00 PM
106,New York Cultural Center,New York,USA,Cultural,20,3.0,4.9,Experience the authentic culture and history of New York at this renowned cultural site.,9:00 AM - 6:00 PM
107,New York Entertainment Center,New York,USA,Entertainment,28,3.5,3.6,One of New York's most visited entertainment destinations with stunning architecture.,9:00 AM - 6:00 PM
108,New York Nature Center,New York,USA,Nature,13,3.5,4.5,A magnificent nature attraction showcasing the rich heritage of New York.,9:00 AM - 6:00 PM
109,New York Architecture Center,New York,USA,Architecture,18,6.0,4.4,Experience the authentic culture and history of New York at this renowned architecture site.,10:00 AM - 8:00 PM
110,New York Market Center,New York,USA,Market,4,2.0,3.6,One of New York's most visited market destinations with stunning architecture.,24 hours
111,Traditional New York,New York,USA,Historical,25,6.0,3.8,Experience the authentic culture and history of New York at this renowned historical site.,10:00 AM - 7:00 PM
112,New York Art Museum,New York,USA,Museum,30,1.5,4.2,One of New York's most visited museum destinations with stunning architecture.,10:00 AM - 8:00 PM
113,New York Shrine,New York,USA,Religious,9,2.5,4.6,Experience the authentic culture and history of New York at this renowned religious site.,10:00 AM - 8:00 PM
114,New York Square,New York,USA,Landmark,9,3.5,4.3,A must-visit landmark landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
115,Grand New York Arcade,New York,USA,Shopping,0,2.0,3.9,A magnificent shopping attraction showcasing the rich heritage of New York.,9:00 AM - 6:00 PM
116,New York Cultural Center,New York,USA,Cultural,25,2.0,4.8,A magnificent cultural attraction showcasing the rich heritage of New York.,9:00 AM - 6:00 PM
117,New York Entertainment Center,New York,USA,Entertainment,45,4.0,4.9,Experience the authentic culture and history of New York at this renowned entertainment site.,9:00 AM - 6:00 PM
118,New York Nature Center,New York,USA,Nature,7,5.0,4.8,A must-visit nature landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
119,New York Architecture Center,New York,USA,Architecture,9,2.0,3.7,Experience the authentic culture and history of New York at this renowned architecture site.,9:00 AM - 6:00 PM
120,New York Market Center,New York,USA,Market,3,1.0,3.7,A magnificent market attraction showcasing the rich heritage of New York.,10:00 AM - 7:00 PM
121,Medieval Dubai,Dubai,UAE,Historical,15,1.5,4.4,One of Dubai's most visited historical destinations with stunning architecture.,8:00 AM - 5:00 PM
122,Modern Dubai Museum,Dubai,UAE,Museum,29,2.5,4.3,Experience the authentic culture and history of Dubai at this renowned museum site.,9:30 AM - 6:30 PM
123,Dubai Shrine,Dubai,UAE,Religious,7,8.0,4.0,One of Dubai's most visited religious destinations with stunning architecture.,9:00 AM - 6:00 PM
124,Dubai Tower,Dubai,UAE,Landmark,13,2.5,3.5,A magnificent landmark attraction showcasing the rich heritage of Dubai.,10:00 AM - 7:00 PM
125,Dubai Fashion Street,Dubai,UAE,Shopping,0,8.0,3.6,A magnificent shopping attraction showcasing the rich heritage of Dubai.,9:00 AM - 6:00 PM
126,Dubai Cultural Center,Dubai,UAE,Cultural,13,2.0,3.6,Discover the fascinating cultural treasures of Dubai in this world-class venue.,10:00 AM - 7:00 PM
127,Dubai Entertainment Center,Dubai,UAE,Entertainment,40,3.5,3.6,A must-visit entertainment landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
128,Dubai Nature Center,Dubai,UAE,Nature,12,8.0,4.7,Discover the fascinating nature treasures of Dubai in this world-class venue.,10:00 AM - 8:00 PM
129,Dubai Architecture Center,Dubai,UAE,Architecture,15,8.0,4.5,A must-visit architecture landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
130,Dubai Market Center,Dubai,UAE,Market,2,5.0,3.7,Experience the authentic culture and history of Dubai at this renowned market site.,8:00 AM - 5:00 PM
131,Medieval Dubai,Dubai,UAE,Historical,14,3.0,3.9,A magnificent historical attraction showcasing the rich heritage of Dubai.,10:00 AM - 7:00 PM
132,Dubai Art Museum,Dubai,UAE,Museum,23,4.0,4.5,A must-visit museum landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
133,Dubai Shrine,Dubai,UAE,Religious,10,2.0,4.3,One of Dubai's most visited religious destinations with stunning architecture.,10:00 AM - 8:00 PM
134,Dubai Plaza,Dubai,UAE,Landmark,7,1.5,4.1,A must-visit landmark landmark offering breathtaking views and cultural insights.,10:00 AM - 8:00 PM
135,Dubai Bazaar,Dubai,UAE,Shopping,0,2.5,3.9,A must-visit shopping landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
136,Dubai Cultural Center,Dubai,UAE,Cultural,18,3.0,4.8,Discover the fascinating cultural treasures of Dubai in this world-class venue.,8:00 AM - 5:00 PM
137,Dubai Entertainment Center,Dubai,UAE,Entertainment,22,4.0,4.7,One of Dubai's most visited entertainment destinations with stunning architecture.,9:30 AM - 6:30 PM
138,Dubai Nature Center,Dubai,UAE,Nature,6,1.5,3.8,Experience the authentic culture and history of Dubai at this renowned nature site.,10:00 AM - 7:00 PM
139,Dubai Architecture Center,Dubai,UAE,Architecture,13,8.0,4.8,A magnificent architecture attraction showcasing the rich heritage of Dubai.,9:00 AM - 6:00 PM
140,Dubai Market Center,Dubai,UAE,Market,3,8.0,4.2,A must-visit market landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
141,Dubai Palace,Dubai,UAE,Historical,23,3.5,4.7,Experience the authentic culture and history of Dubai at this renowned historical site.,10:00 AM - 8:00 PM
142,Dubai Cultural Center,Dubai,UAE,Museum,29,6.0,3.6,A must-visit museum landmark offering breathtaking views and cultural insights.,10:00 AM - 8:00 PM
143,Dubai Cathedral,Dubai,UAE,Religious,0,1.0,4.8,Experience the authentic culture and history of Dubai at this renowned religious site.,9:30 AM - 6:30 PM
144,Dubai Bridge,Dubai,UAE,Landmark,12,3.5,3.5,A must-visit landmark landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
145,Traditional Dubai Market,Dubai,UAE,Shopping,0,3.5,5.0,Experience the authentic culture and history of Dubai at this renowned shopping site.,9:00 AM - 6:00 PM
146,Dubai Cultural Center,Dubai,UAE,Cultural,17,3.5,3.9,Experience the authentic culture and history of Dubai at this renowned cultural site.,10:00 AM - 8:00 PM
147,Dubai Entertainment Center,Dubai,UAE,Entertainment,22,5.0,4.3,A must-visit entertainment landmark offering breathtaking views and cultural insights.,10:00 AM - 8:00 PM
148,Dubai Nature Center,Dubai,UAE,Nature,6,6.0,3.9,A magnificent nature attraction showcasing the rich heritage of Dubai.,9:00 AM - 6:00 PM
149,Dubai Architecture Center,Dubai,UAE,Architecture,8,6.0,5.0,A magnificent architecture attraction showcasing the rich heritage of Dubai.,10:00 AM - 7:00 PM
150,Dubai Market Center,Dubai,UAE,Market,5,5.0,4.7,A magnificent market attraction showcasing the rich heritage of Dubai.,10:00 AM - 7:00 PM
151,Royal Barcelona Complex,Barcelona,Spain,Historical,15,2.0,4.7,A magnificent historical attraction showcasing the rich heritage of Barcelona.,9:30 AM - 6:30 PM
152,Barcelona Gallery,Barcelona,Spain,Museum,24,8.0,4.4,A magnificent museum attraction showcasing the rich heritage of Barcelona.,10:00 AM - 8:00 PM
153,Barcelona Mosque,Barcelona,Spain,Religious,5,2.0,3.8,A magnificent religious attraction showcasing the rich heritage of Barcelona.,9:30 AM - 6:30 PM
154,Barcelona Monument,Barcelona,Spain,Landmark,6,8.0,3.7,One of Barcelona's most visited landmark destinations with stunning architecture.,10:00 AM - 7:00 PM
155,Barcelona Shopping District,Barcelona,Spain,Shopping,0,3.0,4.0,Experience the authentic culture and history of Barcelona at this renowned shopping site.,9:30 AM - 6:30 PM
156,Barcelona Cultural Center,Barcelona,Spain,Cultural,25,2.5,4.5,Discover the fascinating cultural treasures of Barcelona in this world-class venue.,10:00 AM - 8:00 PM
157,Barcelona Entertainment Center,Barcelona,Spain,Entertainment,28,3.5,4.4,One of Barcelona's most visited entertainment destinations with stunning architecture.,10:00 AM - 8:00 PM
158,Barcelona Nature Center,Barcelona,Spain,Nature,12,2.0,4.6,Discover the fascinating nature treasures of Barcelona in this world-class venue.,9:00 AM - 6:00 PM
159,Barcelona Architecture Center,Barcelona,Spain,Architecture,17,8.0,3.6,One of Barcelona's most visited architecture destinations with stunning architecture.,9:00 AM - 6:00 PM
160,Barcelona Market Center,Barcelona,Spain,Market,4,5.0,4.0,A must-visit market landmark offering breathtaking views and cultural insights.,24 hours
161,Old Barcelona,Barcelona,Spain,Historical,25,8.0,3.9,A must-visit historical landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
162,Barcelona Gallery,Barcelona,Spain,Museum,25,5.0,4.0,Discover the fascinating museum treasures of Barcelona in this world-class venue.,9:00 AM - 6:00 PM
163,Sacred Barcelona Site,Barcelona,Spain,Religious,10,2.0,5.0,A must-visit religious landmark offering breathtaking views and cultural insights.,8:00 AM - 5:00 PM
164,Barcelona Monument,Barcelona,Spain,Landmark,13,5.0,4.8,A magnificent landmark attraction showcasing the rich heritage of Barcelona.,8:00 AM - 5:00 PM
165,Barcelona Bazaar,Barcelona,Spain,Shopping,0,8.0,3.9,Experience the authentic culture and history of Barcelona at this renowned shopping site.,9:00 AM - 6:00 PM
166,Barcelona Cultural Center,Barcelona,Spain,Cultural,14,2.5,4.2,Experience the authentic culture and history of Barcelona at this renowned cultural site.,9:00 AM - 6:00 PM
167,Barcelona Entertainment Center,Barcelona,Spain,Entertainment,45,3.0,4.0,Experience the authentic culture and history of Barcelona at this renowned entertainment site.,8:00 AM - 5:00 PM
168,Barcelona Nature Center,Barcelona,Spain,Nature,11,3.0,3.6,A must-visit nature landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
169,Barcelona Architecture Center,Barcelona,Spain,Architecture,17,8.0,5.0,One of Barcelona's most visited architecture destinations with stunning architecture.,8:00 AM - 5:00 PM
170,Barcelona Market Center,Barcelona,Spain,Market,3,5.0,3.7,Discover the fascinating market treasures of Barcelona in this world-class venue.,24 hours
171,Ancient Barcelona,Barcelona,Spain,Historical,20,4.0,5.0,Experience the authentic culture and history of Barcelona at this renowned historical site.,9:00 AM - 6:00 PM
172,Modern Barcelona Museum,Barcelona,Spain,Museum,25,8.0,3.7,Experience the authentic culture and history of Barcelona at this renowned museum site.,8:00 AM - 5:00 PM
173,Sacred Barcelona Site,Barcelona,Spain,Religious,6,1.0,4.7,A magnificent religious attraction showcasing the rich heritage of Barcelona.,10:00 AM - 7:00 PM
174,Barcelona Bridge,Barcelona,Spain,Landmark,8,1.0,4.8,A magnificent landmark attraction showcasing the rich heritage of Barcelona.,9:00 AM - 6:00 PM
175,Barcelona Bazaar,Barcelona,Spain,Shopping,0,4.0,4.9,A must-visit shopping landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
176,Barcelona Cultural Center,Barcelona,Spain,Cultural,22,3.5,4.8,A magnificent cultural attraction showcasing the rich heritage of Barcelona.,10:00 AM - 8:00 PM
177,Barcelona Entertainment Center,Barcelona,Spain,Entertainment,41,3.5,4.3,A must-visit entertainment landmark offering breathtaking views and cultural insights.,9:30 AM - 6:30 PM
178,Barcelona Nature Center,Barcelona,Spain,Nature,11,2.5,4.9,Experience the authentic culture and history of Barcelona at this renowned nature site.,9:00 AM - 6:00 PM
179,Barcelona Architecture Center,Barcelona,Spain,Architecture,15,1.5,4.2,One of Barcelona's most visited architecture destinations with stunning architecture.,10:00 AM - 8:00 PM
180,Barcelona Market Center,Barcelona,Spain,Market,4,1.0,3.6,A must-visit market landmark offering breathtaking views and cultural insights.,9:00 AM - 6:00 PM
181,Historic Rome,Rome,Italy,Historical,10,2.5,3.6,Discover the fascinating historical treasures of Rome in this world-class venue.,9:30 AM - 6:30 PM
182,Rome History Museum,Rome,Italy,Museum,23,2.5,3.8,Discover the fascinating museum treasures of Rome in this world-class venue.,10:00 AM - 7:00 PM
183,Rome Mosque,Rome,Italy,Religious,7,3.5,4.7,One of Rome's most visited religious destinations with stunning architecture.,9:30 AM - 6:30 PM
184,Rome Plaza,Rome,Italy,Landmark,6,8.0,4.2,Experience the authentic culture and history of Rome at this renowned landmark site.,10:00 AM - 8:00 PM
185,Rome Bazaar,Rome,Italy,Shopping,0,1.5,4.3,Experience the authentic culture and history of Rome at this renowned shopping site.,9:00 AM - 6:00 PM
186,Rome Cultural Center,Rome,Italy,Cultural,21,6.0,4.8,Experience the authentic culture and history of Rome at this renowned cultural site.,9:00 AM - 6:00 PM
187,Rome Entertainment Center,Rome,Italy,Entertainment,24,2.5,3.6,One of Rome's most visited entertainment destinations with stunning architecture.,10:00 AM - 8:00 PM
188,Rome Nature Center,Rome,Italy,Nature,11,4.0,4.7,Discover the fascinating nature treasures of Rome in this world-class venue.,8:00 AM - 5:00 PM
